,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon,bjp_count,congress_count
48,2.282157676,8.921161826,0.829875519,3.319502075,1.867219917,7.468879668,0.829875519,3.319502075,4.149377593,15.56016598,6.01659751,19.70954357,13.69294606,42.32365145,6.43153527,23.02904564,2.074688797,7.053941909,15.97510373,5.394190871,2.074688797
49,0.682593857,2.730375427,0,0,2.730375427,10.58020478,0.682593857,2.730375427,5.802047782,20.13651877,9.556313993,34.81228669,14.67576792,44.70989761,6.825938567,24.23208191,4.436860068,16.38225256,26.62116041,3.071672355,3.754266212
50,2.888888889,10.88888889,0.888888889,3.111111111,3.555555556,14.22222222,0.666666667,2.222222222,6.444444444,23.77777778,10.22222222,34,13.77777778,45.11111111,6,22.22222222,5.333333333,19.33333333,22.66666667,3.111111111,3.333333333
51,1.799485861,6.16966581,1.285347044,4.370179949,2.570694087,9.768637532,0.257069409,1.028277635,9.254498715,32.13367609,11.05398458,37.01799486,13.36760925,41.38817481,4.884318766,17.48071979,6.16966581,23.3933162,26.22107969,3.856041131,3.856041131
52,2.288329519,9.153318078,0.915331808,3.661327231,3.203661327,12.35697941,0.686498856,2.745995423,5.263157895,20.13729977,16.47597254,51.25858124,15.56064073,46.6819222,5.263157895,19.22196796,11.8993135,39.13043478,18.53546911,3.203661327,4.805491991
53,2.281368821,8.745247148,0.380228137,1.520912548,3.041825095,11.02661597,1.520912548,5.703422053,7.224334601,25.09505703,11.02661597,36.121673,23.19391635,63.11787072,6.08365019,22.43346008,12.92775665,42.58555133,29.27756654,0.760456274,1.901140684
54,0.869565217,3.47826087,0,0,3.47826087,12.17391304,0.869565217,3.47826087,4.347826087,17.39130435,12.17391304,29.56521739,18.26086957,57.39130435,3.47826087,11.30434783,13.04347826,44.34782609,19.13043478,1.739130435,3.47826087
55,1.867572156,7.470288625,1.188455008,4.753820034,2.037351443,7.979626486,3.056027165,11.54499151,2.546689304,9.168081494,11.20543294,36.16298812,16.97792869,50.93378608,6.960950764,23.59932088,9.337860781,33.10696095,23.25976231,1.188455008,1.697792869
56,1.751824818,6.569343066,1.897810219,7.445255474,2.919708029,11.38686131,2.335766423,8.759124088,4.817518248,18.54014599,9.489051095,33.57664234,18.97810219,56.64233577,5.401459854,19.5620438,9.051094891,30.80291971,24.37956204,0.437956204,2.335766423
57,2.597402597,9.956709957,1.298701299,5.194805195,3.03030303,12.12121212,1.731601732,6.060606061,6.060606061,21.64502165,11.25541126,37.22943723,21.64502165,57.57575758,6.060606061,22.94372294,11.68831169,39.39393939,30.3030303,2.164502165,0.432900433
58,2.8,11.2,0,0,2,8,0,0,3.6,14,10,36.4,20.8,59.2,4.4,14,14.4,44.4,24,2.4,1.6
59,2.283105023,9.132420091,0.913242009,3.196347032,2.739726027,9.817351598,2.283105023,9.132420091,5.936073059,22.14611872,10.2739726,31.96347032,22.14611872,65.29680365,5.479452055,20.0913242,10.50228311,36.75799087,26.48401826,1.826484018,1.826484018
60,3.773584906,14.1509434,0.471698113,1.886792453,2.358490566,9.433962264,1.41509434,5.660377358,4.716981132,16.50943396,10.8490566,36.32075472,19.33962264,58.96226415,4.245283019,16.03773585,11.79245283,40.56603774,28.77358491,1.41509434,1.886792453
61,3.381642512,13.52657005,1.449275362,5.797101449,2.415458937,8.695652174,0.483091787,1.93236715,5.797101449,21.73913043,12.56038647,38.16425121,21.73913043,62.31884058,3.8647343,15.4589372,14.00966184,40.57971014,31.40096618,1.93236715,0.483091787
62,2.33463035,9.338521401,0.778210117,2.33463035,1.556420233,6.225680934,0.778210117,3.112840467,3.501945525,14.0077821,14.0077821,42.80155642,23.73540856,61.47859922,8.560311284,30.73929961,11.28404669,35.01945525,26.84824903,5.058365759,0
63,3.720930233,14.88372093,0.465116279,1.860465116,1.860465116,7.441860465,1.860465116,7.441860465,5.11627907,19.53488372,13.48837209,46.04651163,22.79069767,61.86046512,8.837209302,28.8372093,9.76744186,30.23255814,30.23255814,4.651162791,1.395348837
64,1.114206128,4.178272981,0.278551532,1.114206128,1.39275766,5.571030641,0.278551532,1.114206128,5.292479109,18.94150418,9.749303621,33.70473538,17.54874652,52.92479109,4.178272981,14.7632312,8.913649025,30.36211699,29.80501393,5.571030641,1.114206128
65,2.392344498,9.56937799,1.435406699,5.741626794,3.349282297,12.44019139,0.956937799,3.827751196,7.655502392,29.18660287,16.74641148,55.98086124,14.83253589,50.71770335,4.784688995,17.22488038,13.87559809,46.41148325,31.10047847,3.349282297,1.913875598
66,1.838235294,7.352941176,0.735294118,2.941176471,1.838235294,6.985294118,1.470588235,5.514705882,5.514705882,20.58823529,5.147058824,18.38235294,12.86764706,43.01470588,1.838235294,7.352941176,6.617647059,23.89705882,14.70588235,0.735294118,0
67,4.195804196,16.43356643,0.524475524,2.097902098,2.272727273,8.741258741,2.797202797,11.01398601,3.846153846,14.51048951,6.643356643,22.37762238,17.30769231,53.84615385,4.545454545,17.30769231,8.216783217,29.8951049,20.45454545,0.524475524,0
68,1.554404145,5.699481865,1.03626943,4.14507772,3.886010363,15.28497409,2.07253886,7.512953368,7.25388601,26.16580311,8.808290155,30.56994819,18.65284974,58.5492228,2.849740933,10.88082902,12.69430052,43.78238342,23.05699482,5.440414508,2.331606218
